subject_heading,book_entry
PAKISTAN STUDIES,3. Bin SK. The Political System of Pakistan. Houghton Mifflin; 1967.
PAKISTAN STUDIES,"4. Burke SM, Ziring L. Pakistan’s Foreign Policy: A Historical Analysis. Oxford University Press;"
PAKISTAN STUDIES,5. Haq NU. Making of Pakistan: The Military Perspective. National Commission on Historical and
PAKISTAN STUDIES,6. Javed BS. State & Society in Pakistan. The Macmillan Press Ltd; 1980.
PAKISTAN STUDIES,7. Lawrence Z. Pakistan: Enigma of Political Development. Dawson Publishing; 1980.
PAKISTAN STUDIES,8. Rafique AM. Political Parties in Pakistan. 2nd Ed. National Institute of Historical and Cultural
PAKISTAN STUDIES,9. Safdar M. Pakistan Kayyun Toota. Idara-e-Saqafat-e-Islamia;
PAKISTAN STUDIES,10. Safdar M. Pakistan Political Roots & Development. 1st Ed. Oxford University Press; 2003.
PAKISTAN STUDIES,11. Tahir A. Ethno National Movement in Pakistan: Domestic and International Factors. 1st Ed.
PAKISTAN STUDIES,12. Waseem M. Pakistan under Martial Law. 1st Ed. Vanguard Books Ltd; 1987.
PAKISTAN STUDIES,13. Wayne W. The Emergence of Banglades. American Enterprise; 1972.
PAKISTAN STUDIES,14. Zaidi AS. Issue in Pakistan’s Economy. 2nd Ed. Oxford University Press; 2006.
PHARMACY PRACTICE (BIO-STATISTICS),1. Daniel WW. Bio-Statistics: Foundation for Analysis in Health Science. 9th Ed. Wiley
PHARMACY PRACTICE (BIO-STATISTICS),2. Nilton JS. Statistical Methods in Biological and health Sciences. 3rd Ed. McGrew Hill; 1998.
PHARMACY PRACTICE (BIO-STATISTICS),"3. Hoel PG, Port SC, Stone CJ. Introduction to Statistical Theory. 1st Ed. Brooks Cole; 1972."
PHARMACY PRACTICE (BIO-STATISTICS),4. Samuels M. Statistics for the life sciences. 3rd Ed. Dellen Publishers co; 2002.
PHARMACY PRACTICE (BIO-STATISTICS),5. Zar JH. Biostatistical analysis. 4th Ed. Francis Hall; 1999.
PHARMACY PRACTICE (DISPENSING PHARMACY),"1. Armstrong NA, James KC. Understanding experimental design and interpretation in"
PHARMACY PRACTICE (DISPENSING PHARMACY),2. Gennaro AR. Remington: The science and practice of pharmacy. 21st Ed. Lippincott Williams
PHARMACY PRACTICE (DISPENSING PHARMACY),"3. Marriott JF, Wilson KA, Langley CA, Belcher D. Pharmaceutical compounding and"
PHARMACY PRACTICE (DISPENSING PHARMACY),"4. Cooper JW, Gunn C, Carter SJ. Cooper and Gun’s Dispensing for Pharmaceutical Students."
PHARMACY PRACTICE (DISPENSING PHARMACY),5. Lund W. The Pharmaceutical Codex: Principles and practice of pharmaceutics. 16th Ed. Co
PHARMACY PRACTICE (DISPENSING PHARMACY),6. Mehta DK. British national formulary (BNF). 54th Ed. Pharmaceutical Press; 2007.
PHARMACY PRACTICE (DISPENSING PHARMACY),7. Rowe RC. Handbook of pharmaceutical excipients. 6th Ed. Pharmaceutical press; 2009.
PHARMACY PRACTICE (DISPENSING PHARMACY),"8. Winfield AJ, Rees J, Smith I. Pharmaceutical Practice. 4th Ed. Churchill Livingstone; 2009."
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"1. Ahuja S, Scypinski S. Handbook of modern pharmaceutical analysis. 2nd Ed. Academic"
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"2. Armstrong NA, James KC. Understanding experimental design and interpretation in"
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"3. Beckett AH, Stennlake JB. Practical Pharmaceutical Chemistry. 4th Ed. The Aulton Press;"
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"4. Braithwaite A, Smith FJ. Chromatographic Methods. 5th Ed. Chapman and Hall; 1995."
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),5. Brittain HG. Spectroscopy of pharmaceutical solids. 1st Ed. Taylor & Francis; 2006.
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"6. Hamilton R, Sewell PA. Introduction to HPLC. 1st Ed. Chapman & Hall; 1982."
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),7. Heftmann E. Chromatography. 6th Ed. Von Nostrond Reinheld Co; 2004.
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"8. Kazakevich Y, LoBrutto R. HPLC for pharmaceutical scientists. 1st Ed. John Wiley and Sons;"
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),9. Kemp W. Organic Spectroscopy. 3rd Ed. Ellsi Horwood; 2008.
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"10. Knevel AM, Digangi FE. Jenkin’s quantitative Pharmaceutical Chemistry. 7th Ed. McGraw"
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"11. Lough WJ, Wainer WI. High Performance Liquid Chromatography. 1st Ed. Blacki"
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"12. Moffat AC, Osselton DM, Widdop B. Clarke’s Analysis of Drugs and Poisons. 4th Ed."
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"13. Pryde A, Gilbert MJ. Applications of High Performance Liquid Chromatography. 1st Ed."
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"14. Snyder LR, Kirkland JJ, Dolan JW. Introduction to modern liquid chromatography. 3rd Ed."
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),15. Stahl E. Thin Layer Chromatography. 2nd Ed. Berlin: Springer Verlag; 1969.
PHARMACEUTICAL CHEMISTRY (PHARMACEUTICAL ANALYSIS),"16. Williams DH, Fleming I. Spectroscopic methods in organic chemistry. 6th Ed. McGraw Hill;"
PATHOLOGY,"1. Dipiro J, Talbert RL, Yee G, Matzke G, Wells B, Michael PL. Pharmacotherapy: A"
PATHOLOGY,"2. Greene RJ, Harris ND. Pathology and therapeutics for pharmacists. 3rd Ed. Pharmaceutical"
PATHOLOGY,"3. Kumar V, Cotran RS, Robbins SL. Robbin’s Basic Pathology. 8th Ed. W. B. Saunders"
PATHOLOGY,"4. Macfarlane PS, Reid R, Collander R. Pathology Illustrated. 5th Ed. Churchill Livingstone;"
PATHOLOGY,5. Walter GB. Walters and Israel General Pathology. 7th Ed. Churchill Livingstone; 1996.
PATHOLOGY,"1. Allen LV, Popovich NG, Ansel HC. Ansel's Pharmaceutical Dosage Forms and Drug"
PATHOLOGY,"2. Armstrong NA, James KC. Understanding Experimental Design and Interpretation in"
PATHOLOGY,"3. Cooper JW, Gunn C, Carter SJ. Cooper and Gun’s Dispensing for Pharmaceutical Students."
PATHOLOGY,"4. Desselle SP, Zgarrick DP. Pharmacy Management: Essentials for all Practice Settings. 2nd Ed."
PATHOLOGY,5. Gennaro AR. Remington: The science and Practice of Pharmacy. 21st Ed. Lippincott Williams
